activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,climate change: total (incl. biogenic CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: fossil: global warming potential (GWP100) [IPCC 2021],climate change: biogenic (incl. CO2): global warming potential (GWP100) [IPCC 2021 (incl. biogenic CO2)],climate change: direct land use change: global warming potential (GWP100) [IPCC 2021],climate change: aircraft emissions: global warming potential (GWP100) [IPCC 2021],climate change: global warming potential (GWP20) [IPCC 2013],climate change: global temperature change potential (GTP100) [IPCC 2013]
"BTX production, from reformate, average",RER,p-xylene,kg,1,2.148975639260347,2.144076340757792,0.0042356759645017,0.0006636225380541,1.801558715778583e-08,2.995082538166227,1.779743360685
"BTX production, from reformate, average",RER,raffinate,kg,1,0.939606406081422,0.9388596434780578,0.0006104731730275,0.0001362894303364,4.2174351961824395e-09,1.598455271516898,0.6532879839730312
"BTX production, from reformate, average",RER,"toluene, liquid",kg,1,1.409487088220368,1.407869624278758,0.0013319310776868,0.0002855328639232,9.818714675536852e-09,2.141855851416372,1.09156212654685
"BTX production, from reformate, average",RER,"xylene, mixed",kg,1,1.409488741488257,1.407871275649431,0.0013319326399849,0.000285533198841,9.818726192468238e-09,2.141858363721399,1.091563406902397
"C3 hydrocarbon production, mixture, petroleum refinery operation",BR,C3 hydrocarbon mixture,kg,1,0.8359408503585085,0.8351177746152897,0.0006206013791771,0.0002024743640417,3.815598730677536e-09,1.261833045333986,0.6535295223563202
"C3 hydrocarbon production, mixture, petroleum refinery operation",CO,C3 hydrocarbon mixture,kg,1,0.9244839096035966,0.9237008192889122,0.0004878009255294,0.0002952893891549,4.1234593974146254e-09,1.344731716566921,0.745969726583845
"C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,kg,1,1.157809809050988,1.157008945535906,0.0006152852038994,0.0001855783111827,4.909102892497006e-09,1.898150230495129,0.8384822156099339
"C3 hydrocarbon production, mixture, petroleum refinery operation",IN,C3 hydrocarbon mixture,kg,1,1.33582344651784,1.335162529788932,0.0003986295745766,0.000262287154331,5.8661152298912275e-09,2.09116937318356,1.010765063676179
"C3 hydrocarbon production, mixture, petroleum refinery operation",PE,C3 hydrocarbon mixture,kg,1,1.116763108324646,1.116226774050953,0.0003595380532922,0.0001767962204005,3.672125915998615e-09,1.753767366397678,0.8439924041590016
"C3 hydrocarbon production, mixture, petroleum refinery operation",RoW,C3 hydrocarbon mixture,kg,1,1.131199388388441,1.13054828737884,0.0003958821518901,0.0002552188577111,4.822857541256733e-09,1.812809460039435,0.83862256576715
"C3 hydrocarbon production, mixture, petroleum refinery operation",ZA,C3 hydrocarbon mixture,kg,1,1.126530779763036,1.125996431375198,0.0003495116074628,0.0001848367803753,4.187146589500266e-09,1.855324303271975,0.8118196990474144
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"energy feed, gross",MJ,1,-0.0491785537496132,0.0007477588451265,-0.0499439852877519,1.767269301209518e-05,5.22003875250642e-12,0.0008759282697379,0.000701971011268
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"protein feed, 100% crude",kg,1,-1.930713591651481,0.0293564583642279,-1.96076386685248,0.0006938168367711,2.0493485472897138e-10,0.0343882950341568,0.0275588619238559
EUR-flat pallet production,RoW,EUR-flat pallet,unit,1,-27.34752526290341,7.530194889182723,-34.9004038431206,0.0226836910344566,5.8195185374410416e-08,9.277188605531718,7.077302626586733
EUR-flat pallet production,RER,EUR-flat pallet,unit,1,-26.21043797547228,5.348778638834736,-31.58809350693363,0.0288768926265984,4.513950496739497e-08,6.713862638070095,5.00445052878572
"MOX fuel element production, for light water reactor",RoW,"MOX fuel element, for light water reactor",kg,1,49.84609506306761,49.42926404310369,0.3292377524175175,0.0875932675463945,6.818694324170382e-08,56.5399957150286,46.84570107715021
"MOX fuel element production, for light water reactor",UCTE,"MOX fuel element, for light water reactor",kg,1,34.77768497442857,33.9272054447232,0.7929233720822009,0.0575561576231662,5.472896644580533e-08,39.1237327963774,32.08885227239178
"N,N-dimethylformamide production, direct synthesis",RoW,"N,N-dimethylformamide",kg,1,4.005769014530443,4.012426250803257,-0.008022516040299,0.0013652797674853,2.703140971371771e-08,5.009182636397338,3.691425130202355
"N,N-dimethylformamide production, direct synthesis",RER,"N,N-dimethylformamide",kg,1,2.927878563862013,2.920304714828285,0.0065878415186614,0.0009860075150657,3.168992995310499e-08,3.755043123391477,2.681724733174547
N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,kg,1,8.014330838676326,7.968226336985328,0.0394689248105494,0.0066355768804468,5.79752666652292e-08,9.516078210607365,7.4313557680905
N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,kg,1,7.269748935849838,7.212556855041042,0.0511856036330099,0.0060064771757854,6.125901483901087e-08,8.664486651481745,6.719261502990027
"NCA hydroxide production, for Li-ion battery",CN,NCA hydroxide,kg,1,16.87899912884375,16.60745209861303,0.1959823062853216,0.0755647239453894,1.243096517405335e-07,20.02237809576063,15.49522136605253
"NCA hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0.8431345529412233,0.8295703195297268,0.0097896476522647,0.0037745857592319,6.209477342024168e-09,1.000151648550131,0.7740125133881056
"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,kg,1,16.92091244506339,16.64038176050988,0.2046474626337881,0.075883221919727,1.24806380315039e-07,20.04460938299338,15.53347774096579
"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0.8452281939719114,0.831215211833466,0.0102224868667383,0.0037904952717069,6.2342897744151295e-09,1.001262138945868,0.7759234840157717
"NCA oxide production, for Li-ion battery",CN,NCA oxide,kg,1,26.11215436787963,25.87563339668968,0.1590716388175371,0.0774493323724172,1.746692245302558e-07,30.46101686695455,24.29254762585136
"NCA oxide production, for Li-ion battery",RoW,NCA oxide,kg,1,24.34857170117489,23.98844520144366,0.2704989269344613,0.0896275727967714,0.0027921902236473,28.40466299837443,22.51431813628655
"NMC111 hydroxide production, for Li-ion battery",CN,NMC111 hydroxide,kg,1,22.02553143312259,21.69791220925297,0.236141445904413,0.0914777779652154,1.489651751672525e-07,25.79116523345908,20.28425080334526
"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0.9214418009508116,0.9077357957819846,0.0098790169878068,0.0038269881810201,6.23198308301089e-09,1.078977722444415,0.8485950338099324
"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,kg,1,21.96709915106391,21.62254125631918,0.2523077769554317,0.0922501177892881,1.49849702850049e-07,25.69605688349261,20.21961000373409
"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0.9189972766324226,0.9045826393271024,0.0105553381582471,0.0038592991470733,6.268987446871523e-09,1.074998848674922,0.8458907751186334
"NMC111 oxide production, for Li-ion battery",CN,NMC111 oxide,kg,1,30.0824315490359,29.79267418492395,0.1979526255602804,0.0918047385516649,1.920863654815142e-07,34.8824822595823,27.97020104972802
"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,kg,1,28.31753266574276,27.90274171177613,0.3110024173954632,0.1037885365711708,0.0027892688935119,32.82290156417775,26.18897438708242
"NMC532 hydroxide production, for Li-ion battery",CN,NMC532 hydroxide,kg,1,17.32986924159229,17.06905833160853,0.1878956588717476,0.0729152511120123,1.246372934377805e-07,20.41142903985428,15.94205698840961
"NMC532 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0.8141680924275941,0.8019150328051853,0.0088274555350875,0.0034256040873215,5.8555379748807305e-09,0.958941698487533,0.7489678050469172
"NMC532 hydroxide production, for Li-ion battery",RoW,NMC532 hydroxide,kg,1,17.34489586172968,17.07281664027109,0.1987075022948325,0.0733717191637641,1.252434441067514e-07,20.40216470687211,15.95260581365359
"NMC532 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0.814874052437002,0.8020916004960216,0.0093354026991822,0.0034470492417983,5.884015312289509e-09,0.9585064543315256,0.7494633954525022
"NMC532 oxide production, for Li-ion battery",CN,NMC532 oxide,kg,1,25.02014039765021,24.79167083114359,0.1548122997295435,0.0736572667770719,1.680267410601748e-07,29.08753614568645,23.2744255983684
"NMC532 oxide production, for Li-ion battery",RoW,NMC532 oxide,kg,1,23.48066045282842,23.14271145086184,0.2536451235743832,0.0843038783921983,0.0027774884703575,27.28876637421418,21.72149236734622
"NMC622 hydroxide production, for Li-ion battery",CN,NMC622 hydroxide,kg,1,17.67647659058225,17.40442506047317,0.1961561636326951,0.07589536647638,1.27214001645142e-07,20.85696678072954,16.25105401658647
"NMC622 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0.7561844792165857,0.7445463485313556,0.0083913921239678,0.0032467385612622,5.442105675773021e-09,0.8922431165680675,0.6952061263611956
"NMC622 hydroxide production, for Li-ion battery",RoW,NMC622 hydroxide,kg,1,17.69608175179003,17.41301096555733,0.2067342530380386,0.0763365331946706,1.278083668908761e-07,20.85282779843248,16.26624866852082
"NMC622 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0.7570231711664195,0.744913646173025,0.0088439136990167,0.0032656112943778,5.467532110327236e-09,0.8920660544620158,0.6958561405142465
"NMC622 oxide production, for Li-ion battery",CN,NMC622 oxide,kg,1,25.41885628758155,25.17867577140161,0.163403243076181,0.0767772731037613,1.709731093610617e-07,29.59254523871619,23.63186651167307
"NMC622 oxide production, for Li-ion battery",RoW,NMC622 oxide,kg,1,23.8836196040748,23.53415007166607,0.2620577708672449,0.0874117615414814,0.0027892472487104,27.79840929478855,22.08323397487831
