activity_name,geography,reference_product_name,kmeans_cluster,agglomerative_cluster,dbscan_cluster
"electricity production, wind, >3MW turbine, onshore",RO,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",RU,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",RoW,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",SE,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",SI,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",SK,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",TR,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",TW,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",UA,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-ASCC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-HICC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-MRO,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-NPCC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-RFC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-SERC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-TRE,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",US-WECC,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore",ZA,"electricity, high voltage",0,1,0
"electricity production, wind, >3MW turbine, onshore, renewable energy products",CH,"electricity, high voltage, renewable energy products",0,1,0
"electricity production, wood, future",GLO,"electricity, high voltage",0,1,0
electricity voltage transformation from high to medium voltage,AE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AL,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AR,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,AZ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BD,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BJ,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BN,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BO,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BR-North-eastern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BR-Northern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BR-South-eastern/Mid-western grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BR-Southern grid,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BW,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,BY,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-AB,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-BC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-MB,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-NB,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-NF,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-NS,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-NT,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-NU,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-ON,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-PE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-QC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-SK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CA-YK,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CD,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CH,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CI,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CL,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-CCG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-CSG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-ECGC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-NCGC,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-NECG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-NWG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CN-SWG,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,CO,"electricity, medium voltage",0,1,0
