activity_name,geography,reference_product_name,reference_product_unit,reference_product_amount,cluster,is_anomaly,pca_x,pca_y
"BTX production, from reformate, average",RER,"xylene, mixed",kg,1,0,False,-0.006750459513650071,-0.018366712897814785
"C3 hydrocarbon production, mixture, petroleum refinery operation",BR,C3 hydrocarbon mixture,kg,1,0,False,-0.03024058461620243,-0.2156752165424995
"C3 hydrocarbon production, mixture, petroleum refinery operation",CO,C3 hydrocarbon mixture,kg,1,0,False,-0.02593669144531979,-0.17951901821232333
"C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,kg,1,0,False,-0.015888990243275277,-0.09512837552076793
"C3 hydrocarbon production, mixture, petroleum refinery operation",IN,C3 hydrocarbon mixture,kg,1,0,False,-0.009247933165071925,-0.03934491451982447
"C3 hydrocarbon production, mixture, petroleum refinery operation",PE,C3 hydrocarbon mixture,kg,1,0,False,-0.017525764621239497,-0.10887316107942636
"C3 hydrocarbon production, mixture, petroleum refinery operation",RoW,C3 hydrocarbon mixture,kg,1,0,False,-0.016945581320913856,-0.10400160117988495
"C3 hydrocarbon production, mixture, petroleum refinery operation",ZA,C3 hydrocarbon mixture,kg,1,0,False,-0.0171290846557844,-0.10554469095399016
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"energy feed, gross",MJ,1,0,False,-0.09546044035265261,-0.763629732496703
Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"protein feed, 100% crude",kg,1,0,False,-0.09197984195198755,-0.7343832372589602
EUR-flat pallet production,RoW,EUR-flat pallet,unit,1,4,False,0.06948402814595775,0.6214924602935108
EUR-flat pallet production,RER,EUR-flat pallet,unit,1,4,False,0.055651293385777255,0.5054870748800002
"MOX fuel element production, for light water reactor",RoW,"MOX fuel element, for light water reactor",kg,1,4,False,0.12130729909353202,1.054250491877051
"MOX fuel element production, for light water reactor",UCTE,"MOX fuel element, for light water reactor",kg,1,4,False,0.1139024081801779,0.9928349749315217
"N,N-dimethylformamide production, direct synthesis",RoW,"N,N-dimethylformamide",kg,1,4,False,0.043047028341601595,0.3997523834055889
"N,N-dimethylformamide production, direct synthesis",RER,"N,N-dimethylformamide",kg,1,4,False,0.0283044010995587,0.2759999221393043
N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,kg,1,4,False,0.07163524420508052,0.6395462880191813
N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,kg,1,4,False,0.06781416328298596,0.6075126026564006
"NCA hydroxide production, for Li-ion battery",CN,NCA hydroxide,kg,1,4,False,0.09607183384650544,0.8440843149060633
"NCA hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0,False,-0.0305215367212651,-0.2180255057738561
"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,kg,1,4,False,0.09612897536539833,0.8445620232073336
"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0,False,-0.03043843740505077,-0.2173273818857245
"NCA oxide production, for Li-ion battery",CN,NCA oxide,kg,1,4,False,0.10777172521202052,0.9417587324899124
"NCA oxide production, for Li-ion battery",RoW,NCA oxide,kg,1,4,False,0.2115166599263183,1.402756943085169
"NMC111 hydroxide production, for Li-ion battery",CN,NMC111 hydroxide,kg,1,4,False,0.103383090426284,0.905149441632458
"NMC111 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0,False,-0.02669147136487642,-0.18584958811320806
"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,kg,1,4,False,0.10329311726464545,0.9043980392308146
"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0,False,-0.026841427892251503,-0.18710931215186616
"NMC111 oxide production, for Li-ion battery",CN,NMC111 oxide,kg,1,4,False,0.11105609949261776,0.9691114959228315
"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,kg,1,4,False,0.21504144516837267,1.432532596881393
"NMC532 hydroxide production, for Li-ion battery",CN,NMC532 hydroxide,kg,1,4,False,0.09685790684385373,0.8506607724234578
"NMC532 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0,False,-0.031935752157485967,-0.22990481199078056
"NMC532 hydroxide production, for Li-ion battery",RoW,NMC532 hydroxide,kg,1,4,False,0.09686421610701493,0.8507133913559833
"NMC532 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0,False,-0.03192662282322385,-0.2298281019467134
"NMC532 oxide production, for Li-ion battery",CN,NMC532 oxide,kg,1,4,False,0.10673418347601783,0.9331155973307446
"NMC532 oxide production, for Li-ion battery",RoW,NMC532 oxide,kg,1,4,False,0.2100932402074147,1.3929051827842491
"NMC622 hydroxide production, for Li-ion battery",CN,NMC622 hydroxide,kg,1,4,False,0.09741149772330576,0.855284040493844
"NMC622 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0,False,-0.03497496377087113,-0.2554365631018903
"NMC622 hydroxide production, for Li-ion battery",RoW,NMC622 hydroxide,kg,1,4,False,0.09742548551793041,0.8554008448858089
"NMC622 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0,False,-0.03495503492763644,-0.25526912488420467
"NMC622 oxide production, for Li-ion battery",CN,NMC622 oxide,kg,1,4,False,0.10711206107708313,0.9362626986905199
"NMC622 oxide production, for Li-ion battery",RoW,NMC622 oxide,kg,1,4,False,0.210935051316335,1.3983126970601092
"NMC811 hydroxide production, for Li-ion battery",CN,NMC811 hydroxide,kg,1,4,False,0.09076952686857338,0.7997507531335244
"NMC811 hydroxide production, for Li-ion battery",CN,"sodium sulfate, anhydrite",kg,1,0,False,-0.031272863144646466,-0.22433738320164073
"NMC811 hydroxide production, for Li-ion battery",RoW,NMC811 hydroxide,kg,1,4,False,0.09092357469580449,0.8010398078707879
"NMC811 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",kg,1,0,False,-0.03106490536213148,-0.22259033067153353
"NMC811 oxide production, for Li-ion battery",CN,NMC811 oxide,kg,1,4,False,0.10513020842589282,0.9197422306872588
"NMC811 oxide production, for Li-ion battery",RoW,NMC811 oxide,kg,1,4,False,0.20849343257160435,1.3779452545447486
NPK (15-15-15) fertiliser production,CN,NPK (15-15-15) fertiliser,kg,1,0,False,0.009127620387047059,0.11502103584273407
NPK (15-15-15) fertiliser production,RoW,NPK (15-15-15) fertiliser,kg,1,0,False,-0.006553279417760674,-0.016680991106444477
NPK (15-15-15) fertiliser production,RER,NPK (15-15-15) fertiliser,kg,1,0,False,-0.020284362525716255,-0.1320255843704927
NPK (15-15-15) fertiliser production,RNA,NPK (15-15-15) fertiliser,kg,1,0,False,-0.009029537235482199,-0.03747868267958927
NPK (26-15-15) fertiliser production,CN,NPK (26-15-15) fertiliser,kg,1,4,False,0.03498451675742222,0.3321254779855995
NPK (26-15-15) fertiliser production,RoW,NPK (26-15-15) fertiliser,kg,1,4,False,0.01751694185929426,0.1854670394705152
NPK (26-15-15) fertiliser production,RER,NPK (26-15-15) fertiliser,kg,1,0,False,-0.00013268412184073405,0.037236041808015895
NPK (26-15-15) fertiliser production,RNA,NPK (26-15-15) fertiliser,kg,1,4,False,0.01576400486046084,0.17074985761567127
"PS/ABS, pellets, recycled to generic market for polystyrene, high impact",RER,"polystyrene, high impact",kg,1,0,False,-0.005169880766929687,-0.005070876443345294
[sulfonyl]urea-compound production,RoW,[sulfonyl]urea-compound,kg,1,4,False,0.08605210376488451,0.7602822646282533
[sulfonyl]urea-compound production,RER,[sulfonyl]urea-compound,kg,1,4,False,0.07696245247789685,0.6841462098439347
[thio]carbamate-compound production,RoW,[thio]carbamate-compound,kg,1,4,False,0.08292477847896573,0.7341216118023652
[thio]carbamate-compound production,RER,[thio]carbamate-compound,kg,1,4,False,0.07375800282825232,0.6573194067660882
"abrasive blasting, alumina, carbon steel substrate",GLO,"abrasive blasting, alumina, carbon steel substrate",m2,1,4,False,0.10382390253440804,0.9088902660185392
"absorption chiller production, 100kW",CH,"absorption chiller, 100kW",unit,1,4,False,0.2700328847249719,1.7963719299798755
"absorption chiller production, 100kW",RoW,"absorption chiller, 100kW",unit,1,4,False,0.2953229690784216,1.9086165186907786
"acetaldehyde production, ethylene oxidation",RoW,acetaldehyde,kg,1,4,False,0.021397349266143555,0.21802099922927448
"acetaldehyde production, ethylene oxidation",RER,acetaldehyde,kg,1,0,False,0.00949579597364672,0.11808322674254512
"acetamide-anillide-compound production, unspecified",RoW,"acetamide-anillide-compound, unspecified",kg,1,4,False,0.09043892999033817,0.7970308281933658
"acetamide-anillide-compound production, unspecified",RER,"acetamide-anillide-compound, unspecified",kg,1,4,False,0.08142490243699331,0.7215624235211994
acetanilide production,RoW,acetanilide,kg,1,4,False,0.057520786696566815,0.5212063647919766
acetanilide production,RER,acetanilide,kg,1,4,False,0.046711940215321865,0.4305087086056452
"acetic acid production, from acetaldehyde oxidation",RoW,acetic acid,kg,1,4,False,0.03565960470336312,0.33775802436253183
"acetic acid production, from acetaldehyde oxidation",RoW,methyl acetate,kg,1,4,False,0.050663559358271056,0.4636712104988956
"acetic acid production, from acetaldehyde oxidation",IN,acetic acid,kg,1,4,False,0.03844446733769453,0.36113478411547534
"acetic acid production, from acetaldehyde oxidation",IN,methyl acetate,kg,1,4,False,0.053269382945285305,0.4855360866098978
"acetic acid production, from acetaldehyde oxidation",RER,acetic acid,kg,1,4,False,0.03241801234811383,0.31054772497274974
"acetic acid production, from acetaldehyde oxidation",RER,methyl acetate,kg,1,4,False,0.047614762470677016,0.4380898404662763
"acetic acid production, from acetaldehyde oxidation",UN-EASIA,acetic acid,kg,1,4,False,0.03654402538943837,0.3451829696913896
"acetic acid production, from acetaldehyde oxidation",UN-EASIA,methyl acetate,kg,1,4,False,0.051492398142234226,0.47062702644498633
"acetic acid production, from acetaldehyde oxidation",US,acetic acid,kg,1,4,False,0.03528372196558201,0.3346039467829261
"acetic acid production, from acetaldehyde oxidation",US,methyl acetate,kg,1,4,False,0.05031085140970918,0.4607132337581634
"acetic acid production, from high-pressure methanol carbonylation",RoW,acetic acid,kg,1,4,False,0.021332098161861653,0.21746529032863776
"acetic acid production, from high-pressure methanol carbonylation",IN,acetic acid,kg,1,4,False,0.026168205690287428,0.2580714589494438
"acetic acid production, from high-pressure methanol carbonylation",RER,acetic acid,kg,1,4,False,0.016591464803682218,0.1776635128040285
"acetic acid production, from high-pressure methanol carbonylation",UN-EASIA,acetic acid,kg,1,4,False,0.033257260855441374,0.31758877153516685
"acetic acid production, from high-pressure methanol carbonylation",US,acetic acid,kg,1,4,False,0.019094289603493585,0.1986773294908965
"acetic acid production, from low-pressure methanol carbonylation",RoW,acetic acid,kg,1,0,False,0.006042778966230426,0.08908004573237895
"acetic acid production, from low-pressure methanol carbonylation",RoW,propionic acid,kg,1,4,False,0.05178271414585712,0.47303442859169526
"acetic acid production, from low-pressure methanol carbonylation",IN,acetic acid,kg,1,0,False,0.009454114055549065,0.11772949258338783
"acetic acid production, from low-pressure methanol carbonylation",IN,propionic acid,kg,1,4,False,0.0548130277991621,0.4984605218053761
"acetic acid production, from low-pressure methanol carbonylation",RER,acetic acid,kg,1,0,False,0.002108898099637218,0.056045427488579956
"acetic acid production, from low-pressure methanol carbonylation",RER,propionic acid,kg,1,4,False,0.048214776836649986,0.44310287534836384
"acetic acid production, from low-pressure methanol carbonylation",UN-EASIA,acetic acid,kg,1,4,False,0.020021784959166383,0.20647242734927465
"acetic acid production, from low-pressure methanol carbonylation",UN-EASIA,propionic acid,kg,1,4,False,0.06386174723557417,0.5743666613081075
"acetic acid production, from low-pressure methanol carbonylation",US,acetic acid,kg,1,0,False,0.003631983786866241,0.068834688439063
"acetic acid production, from low-pressure methanol carbonylation",US,propionic acid,kg,1,4,False,0.049605726248735264,0.4547707602418076
"acetic acid production, from n-butane oxidation",RoW,acetic acid,kg,1,4,False,0.014399663074875953,0.1592680242898096
"acetic acid production, from n-butane oxidation",RoW,"acetone, liquid",kg,1,4,False,0.021790557106179033,0.22132540484224017
"acetic acid production, from n-butane oxidation",RoW,ethyl acetate,kg,1,4,False,0.04000501757758242,0.3742260284330172
"acetic acid production, from n-butane oxidation",RoW,formic acid,kg,1,4,False,0.027977232488980895,0.2732656616202507
"acetic acid production, from n-butane oxidation",RoW,methyl acetate,kg,1,4,False,0.030334700747813272,0.29305618797246163
"acetic acid production, from n-butane oxidation",RoW,methyl ethyl ketone,kg,1,4,False,0.04897079184471921,0.4494636613411482
"acetic acid production, from n-butane oxidation",IN,acetic acid,kg,1,4,False,0.02454613905449236,0.24446722940477947
"acetic acid production, from n-butane oxidation",IN,"acetone, liquid",kg,1,4,False,0.031816434430033395,0.30550193258894054
"acetic acid production, from n-butane oxidation",IN,ethyl acetate,kg,1,4,False,0.049456304315901665,0.45354690130480285
"acetic acid production, from n-butane oxidation",IN,formic acid,kg,1,4,False,0.037850208581417105,0.3561488390654826
"acetic acid production, from n-butane oxidation",IN,methyl acetate,kg,1,4,False,0.04013759670479931,0.3753470382465737
"acetic acid production, from n-butane oxidation",IN,methyl ethyl ketone,kg,1,4,False,0.05801049386273322,0.5253095684220702
"acetic acid production, from n-butane oxidation",RER,acetic acid,kg,1,0,False,0.006499441042612449,0.09292659315726333
"acetic acid production, from n-butane oxidation",RER,"acetone, liquid",kg,1,4,False,0.013914868886841398,0.15519706665951508
"acetic acid production, from n-butane oxidation",RER,ethyl acetate,kg,1,4,False,0.0324330566564339,0.3106706664502564
"acetic acid production, from n-butane oxidation",RER,formic acid,kg,1,4,False,0.020166987928736318,0.20769366189706812
"acetic acid production, from n-butane oxidation",RER,methyl acetate,kg,1,4,False,0.022559819847216365,0.22778395454371586
"acetic acid production, from n-butane oxidation",RER,methyl ethyl ketone,kg,1,4,False,0.04166604985562901,0.3881663730378065
"acetic acid production, from n-butane oxidation",UN-EASIA,acetic acid,kg,1,4,False,0.017792629579978132,0.18776190638348425
"acetic acid production, from n-butane oxidation",UN-EASIA,"acetone, liquid",kg,1,4,False,0.025153922055785843,0.24956785583496136
"acetic acid production, from n-butane oxidation",UN-EASIA,ethyl acetate,kg,1,4,False,0.04319793344268728,0.4010282966513917
"acetic acid production, from n-butane oxidation",UN-EASIA,formic acid,kg,1,4,False,0.03129765206696547,0.301144777642364
"acetic acid production, from n-butane oxidation",UN-EASIA,methyl acetate,kg,1,4,False,0.033634593183747404,0.3207618193942417
"acetic acid production, from n-butane oxidation",UN-EASIA,methyl ethyl ketone,kg,1,4,False,0.05203387249985335,0.4751702209002344
"acetic acid production, from n-butane oxidation",US,acetic acid,kg,1,4,False,0.012904427549800668,0.14671497252800617
"acetic acid production, from n-butane oxidation",US,"acetone, liquid",kg,1,4,False,0.020304739023286417,0.20885318732993702
"acetic acid production, from n-butane oxidation",US,ethyl acetate,kg,1,4,False,0.03858671842414114,0.3623262895244123
"acetic acid production, from n-butane oxidation",US,formic acid,kg,1,4,False,0.02650752268632038,0.260930377438577
"acetic acid production, from n-butane oxidation",US,methyl acetate,kg,1,4,False,0.028873023924644123,0.2807890460965076
