activity_name,geography,reference_product_name,iso_forest_anomaly,lof_anomaly
"alkyd paint production, white, solvent-based, product in 60% solution state",RER,"alkyd paint, white, without solvent, in 60% solution state",False,False
"alkyd paint production, white, water-based, product in 60% solution state",RoW,"alkyd paint, white, without water, in 60% solution state",False,False
"alkyd paint production, white, water-based, product in 60% solution state",RER,"alkyd paint, white, without water, in 60% solution state",False,False
"alkyd resin production, long oil, product in 70% white spirit solution state",RoW,"alkyd resin, long oil, without solvent, in 70% white spirit solution state",False,False
"alkyd resin production, long oil, product in 70% white spirit solution state",RER,"alkyd resin, long oil, without solvent, in 70% white spirit solution state",False,False
alkyl sulfate (C12-14) production,GLO,alkyl sulfate (C12-14),False,False
"alkylbenzene production, linear",CA-QC,"alkylbenzene, linear",False,False
"alkylbenzene production, linear",RoW,"alkylbenzene, linear",False,False
"alkylbenzene production, linear",RER,"alkylbenzene, linear",False,False
"alkylbenzene sulfonate production, linear, petrochemical",RoW,"alkylbenzene sulfonate, linear, petrochemical",False,False
"alkylbenzene sulfonate production, linear, petrochemical",RER,"alkylbenzene sulfonate, linear, petrochemical",False,False
"alkylketene dimer sizing agent production, for paper production",RoW,"alkylketene dimer sizing agent, for paper production",False,False
"alkylketene dimer sizing agent production, for paper production",RER,"alkylketene dimer sizing agent, for paper production",False,False
"allyl chloride production, reaction of propylene and chlorine",RoW,"1,3-dichloropropene",False,False
"allyl chloride production, reaction of propylene and chlorine",RoW,allyl chloride,False,False
"allyl chloride production, reaction of propylene and chlorine",RoW,"hydrochloric acid, without water, in 30% solution state",False,False
"allyl chloride production, reaction of propylene and chlorine",RER,"1,3-dichloropropene",False,False
"allyl chloride production, reaction of propylene and chlorine",RER,allyl chloride,False,False
"allyl chloride production, reaction of propylene and chlorine",RER,"hydrochloric acid, without water, in 30% solution state",False,False
almond production,CN,almond,False,False
almond production,RoW,almond,False,False
almond production,US,almond,False,False
alpha-naphthol production,RoW,alpha-naphthol,False,False
alpha-naphthol production,RoW,sodium hydrogen sulfite,False,False
alpha-naphthol production,RER,alpha-naphthol,False,False
alpha-naphthol production,RER,sodium hydrogen sulfite,False,False
alpha-picoline production,RoW,alpha-picoline,False,False
alpha-picoline production,RER,alpha-picoline,False,False
alumina saggar production,GLO,alumina saggar,False,False
"aluminium alloy production, AlLi",CA-QC,"aluminium alloy, AlLi",False,False
"aluminium alloy production, AlLi",CA-QC,"copper, cathode",False,False
"aluminium alloy production, AlLi",RoW,"aluminium alloy, AlLi",False,False
"aluminium alloy production, AlLi",RoW,"copper, cathode",False,False
"aluminium alloy production, AlMg3",RoW,"aluminium alloy, AlMg3",False,False
"aluminium alloy production, AlMg3",RER,"aluminium alloy, AlMg3",False,False
"aluminium alloy production, Metallic Matrix Composite",CA-QC,"aluminium alloy, metal matrix composite",False,False
"aluminium alloy production, Metallic Matrix Composite",CA-QC,"copper, cathode",False,False
"aluminium alloy production, Metallic Matrix Composite",RoW,"aluminium alloy, metal matrix composite",False,False
"aluminium alloy production, Metallic Matrix Composite",RoW,"copper, cathode",False,False
"aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire",CA-QC,"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",False,False
"aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire",RoW,"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",False,False
"aluminium around steel bi-metal wire production, 3.67 mm external diameter",CA-QC,"aluminium around steel bi-metal wire, 3.67mm external diameter",False,False
"aluminium around steel bi-metal wire production, 3.67 mm external diameter",RoW,"aluminium around steel bi-metal wire, 3.67mm external diameter",False,False
aluminium casting facility construction,RoW,aluminium casting facility,True,False
aluminium casting facility construction,RER,aluminium casting facility,True,False
aluminium chloride production,GLO,aluminium chloride,False,False
"aluminium collector foil production, for Li-ion battery",GLO,"aluminium collector foil, for Li-ion battery",False,False
"aluminium drilling, computer numerical controlled",RoW,"aluminium removed by drilling, computer numerical controlled",False,False
"aluminium drilling, computer numerical controlled",RER,"aluminium removed by drilling, computer numerical controlled",False,False
"aluminium drilling, conventional",RoW,"aluminium removed by drilling, conventional",False,False
"aluminium drilling, conventional",RER,"aluminium removed by drilling, conventional",False,False
aluminium electrolysis facility construction,RoW,aluminium electrolysis facility,True,False
aluminium electrolysis facility construction,RER,aluminium electrolysis facility,True,False
aluminium fluoride production,RoW,aluminium fluoride,False,False
aluminium fluoride production,RER,aluminium fluoride,False,False
